0,无效分类,Sephiroth Missions,無効カテゴリ
1,重生之境主线任务,Seventh Umbral Era Main Scenario Quests,メインクエスト：新生エオルゼア
2,第七星历主线任务,Seventh Astral Era Main Scenario Quests,メインクエスト：第七星暦ストーリー
3,苍穹之禁城主线任务,Heavensward Main Scenario Quests,メインクエスト：蒼天のイシュガルド
4,龙诗战争终章主线任务,Dragonsong Main Scenario Quests,メインクエスト：竜詩戦争 完結編
5,龙诗战争尾声主线任务,Post-Dragonsong Main Scenario Quests,メインクエスト：竜詩戦争 戦後編
6,红莲之狂潮主线任务,Stormblood Main Scenario Quests,メインクエスト：紅蓮のリベレーター
7,解放战争战后主线任务,Post-Stormblood Main Scenario Quests,メインクエスト：解放戦争 戦後編
8,暗影之逆焰主线任务,Shadowbringers Main Scenario Quests,メインクエスト：漆黒のヴィランズ
9,拂晓回归主线任务,Post-Shadowbringers Main Scenario Quests,メインクエスト：暁の帰還編
10,末日序曲主线任务,Post-Shadowbringers Main Scenario Quests II,メインクエスト：終末の序曲編
11,晓月之终途主线任务,Endwalker Main Scenario Quests,メインクエスト：暁月のフィナーレ
12,崭新的冒险主线任务,Post-Endwalker Main Scenario Quests,メインクエスト：新たなる冒険編
13,第七星历编年史：蛮神,Chronicles of a New Era - Primals,クロニクルクエスト：蛮神の脅威
14,第七星历编年史：巴哈姆特,Chronicles of a New Era - Bahamut,クロニクルクエスト：バハムート
15,第七星历编年史：水晶塔,Chronicles of a New Era - The Crystal Tower,クロニクルクエスト：クリスタルタワー
16,第七星历编年史：亚历山大,Chronicles of a New Era - Alexander,クロニクルクエスト：アレキサンダー
17,第七星历编年史：上古众神,Chronicles of a New Era - The Warring Triad,クロニクルクエスト：古の神々
18,第七星历编年史：玛哈之影,Chronicles of a New Era - The Shadow of Mhach,クロニクルクエスト：シャドウ・オブ・マハ
19,第七星历编年史：欧米茄,Chronicles of a New Era - Omega,クロニクルクエスト：オメガ
20,第七星历编年史：重返伊瓦利斯,Chronicles of a New Era - Return to Ivalice,クロニクルクエスト：リターン・トゥ・イヴァリース
21,第七星历编年史：四圣兽奇谭,Chronicles of a New Era - The Four Lords,クロニクルクエスト：四聖獣奇譚
22,第七星历编年史：伊甸,Chronicles of a New Era - Eden,クロニクルクエスト：エデン
23,寄叶异闻：暗黑天启,YoRHa: Dark Apocalypse,YoRHa: Dark Apocalypse
24,第七星历编年史：维尔利特战役,Chronicles of a New Era - The Sorrow of Werlyt,クロニクルクエスト：ウェルリト戦役
25,第七星历编年史：万魔殿,Chronicles of a New Era - Pandæmonium,クロニクルクエスト：パンデモニウム
26,第七星历编年史：艾欧泽亚神话,Chronicles of a New Era - Myths of the Realm,クロニクルクエスト：ミソロジー・オブ・エオルゼア
27,,友好部族クエスト：オミクロン族,友好部族クエスト：オミクロン族
28,悌阳象族任务,Arkasodara Quests,友好部族クエスト：アルカソーダラ族
29,蜥蜴人族任务,Amalj'aa Quests,友好部族クエスト：アマルジャ族
30,妖精族任务,Sylph Quests,友好部族クエスト：シルフ族
31,地灵族任务,Kobold Quests,友好部族クエスト：コボルド族
32,鱼人族任务,Sahagin Quests,友好部族クエスト：サハギン族
33,鸟人族任务,Ixal Quests,友好部族クエスト：イクサル族
34,瓦努族任务,Vanu Vanu Quests,友好部族クエスト：バヌバヌ族
35,骨颌族任务,Vath Quests,友好部族クエスト：グナース族
36,莫古力族任务,Moogle Quests,友好部族クエスト：モーグリ族
37,甲人族任务,Kojin Quests,友好部族クエスト：コウジン族
38,阿难陀族任务,Ananta Quests,友好部族クエスト：アナンタ族
39,鲶鱼精族任务,Namazu Quests,友好部族クエスト：ナマズオ族
40,仙子族任务,Pixie Quests,友好部族クエスト：ピクシー族
41,奇塔利族任务,Qitari Quests,友好部族クエスト：キタリ族
42,矮人族任务,Dwarf Quests,友好部族クエスト：ドワーフ族
43,支线剧情任务,Side Story Quests,サブストーリークエスト
44,拉诺西亚支线任务,Lominsan Sidequests,サブクエスト：ラノシア
45,黑衣森林支线任务,Gridanian Sidequests,サブクエスト：黒衣森
46,萨纳兰支线任务,Ul'dahn Sidequests,サブクエスト：ザナラーン
47,库尔札斯支线任务,Coerthan Sidequests,サブクエスト：クルザス
48,摩杜纳支线任务,Mor Dhonan Sidequests,サブクエスト：モードゥナ
49,伊修加德支线任务,Ishgardian Sidequests,サブクエスト：イシュガルド
50,阿巴拉提亚支线任务,Abalathian Sidequests,サブクエスト：アバラシア
51,龙堡支线任务,Dravanian Sidequests,サブクエスト：ドラヴァニア
52,魔大陆支线任务,Azys Lla Sidequests,サブクエスト：アジス・ラー
53,基拉巴尼亚支线任务,Gyr Abanian Sidequests,サブクエスト：ギラバニア
