65536,,,
65537,招募冒险者,A Good Adventurer Is Hard to Find,求められる者
65538,,,
65539,首席园艺工弗弗茶,Way of the Botanist,筆頭園芸師フフチャ
65540,带上笑容,Sap for Smiles,笑顔をこぼして
65541,战前的准备,Weapons of a Feather,備えよ、戦いに
65542,自私自利的下场,Haste Makes Waste,私利私欲の報い
65543,园艺工的修养,Dressed to Harvest,園芸師の身だしなみ
65544,飘上云海的芳香,Aromatic Aspirations,海雲を渡る香り
65545,自然的洗礼,What Nature Giveth,自然の洗礼
65546,凯旋的晚宴,A Feast to Say the Least,凱旋を彩る森の恵み
65547,菜肴中的回忆,Crisis of Faith,伝えられた思い出
65548,战火仍未平息,Botanist in a Bind,いまだ戦火は途絶えず
65549,希望的种子,Seeds of Hope,森を育む者
65550,葡萄酒港理符开放,Leves of Wineport,ギルドリーヴ開放「ワインポート」
65551,蓝雾营地理符开放,Leves of Camp Bluefog,ギルドリーヴ開放「キャンプ・ブルーフォグ」
65552,阿德内尔占星台理符开放,Leves of the Observatorium,ギルドリーヴ開放「アドネール占星台」
65553,白云崖前哨理符开放,Leves of Whitebrim,ギルドリーヴ開放「ホワイトブリム前哨地」
65554,圣寇伊纳克调查地理符开放,Leves of Saint Coinach's Find,ギルドリーヴ開放「聖コイナク財団の調査地」
65555,,,
65556,以香识人,Incense and Sensibility,幻術士メレヌの依頼
65557,百步穿杨的弓箭手,Way of the Archer,弓術士の射抜くもの
65558,融入自然的幻术师,Way of the Conjurer,自然を紡ぐ幻術士
65559,开拓进取的枪术师,Way of the Lancer,道拓く槍術士
65560,强人所难,Coarse Correspondence,彼女の要望
65561,除鼠作业,Quarrels with Squirrels,縁の下の厄介者
65562,信任的花蕾,"Once Bitten, Twice Shy",信頼のつぼみ
65563,修补过去,Preserving the Past,木工師と野外音楽堂
65564,前往烤饼练兵所,To the Bannock,バノック練兵所へ
65565,,,
65566,,,
65567,仪式准备,Essential Oil,儀式に備えて
65568,私语巨木鸟栏的金具,A Hard Nut to Crack,ツリースピーク厩舎の金具
65569,势不可挡,"Sweet Words, Shadowy Dealings",岩をも通す気概
65570,小搬运工,Derision of Labor,小さな預かり物
65571,勇气之卵石,Courage of Stone,勇気の丸石
65572,被盯上的美丽剑士,Sudul Eht Nioj,狙われた麗しの剣士
65573,孢子变异,Population Control,異変の胞子
65574,一举两得,Parsemontrenomics,一挙両得
65575,欢迎来到森林之都,Coming to Gridania,森の都グリダニアへ
65576,身为兄长,For Friendship,兄貴分の務め
65577,失落之种,Covered in Roses,困りの種実
65578,社会礼仪,Sylphic Gratitude,音楽堂の掃除依頼
65579,真相的碎片,Fragments of Truth,ふたつの欠片
65580,真源永存于心,Alisaie's Path,真成を胸に……
65581,沉睡在废弃营地的宝藏,Toll Booty,廃キャンプに眠る財宝
65582,双眼与单弓,A Matter of Perspective,ふたつの目と弓
65583,无惧的尖枪,Spear of the Fearless,不敵なる矛先
65584,土之试炼,Trial by Earth,土の試練
65585,卫士所等待的人,"I Am Millicent, Hear Me Roar",衛士の待ち人
65586,多玛冒险者团的嫌疑,Li'l Rascals,容疑者ドマ冒険者団
65587,冒牌制革匠,Skin in the Game,偽りの革細工
65588,春藤蔓延,Traitor in the Midst,写本師の影
65589,第四分队的危机,Back and Fourth,第四分隊の危機
65590,来自皇都的特使,Coming to Terms,皇都の特使
65591,实力的证明,A Dangerous Proposition,蛮勇の槍術士
65592,命运的长枪,Lance of Destiny,命運分かつ槍
65593,生还者的证言,The Intercession of Saints,目撃者の証言
65594,行会特令,Simply the Hest,発令ギルドオーダー（ウルダハ）
65595,行会特令,Simply the Hest,発令ギルドオーダー（リムサ・ロミンサ）
65596,行会特令,Simply the Hest,発令ギルドオーダー（グリダニア）
65597,杰作的使命,Toadskins of the Father,逸品たる使命
65598,严寒中的合作,Strength in Unity,極寒の共同作戦
65599,榜样,Lead by Example,師匠のお墨付き
65600,品牌效应,Brand Loyalty,ゲヴァパターンの真実
65601,危机来临,Dissension in the Ranks,革細工師ギルドの危機
65602,生命的光彩,Accept No Imitations,命輝く名品
65603,蕾伊·阿里亚珀的弓术训练,School of Hard Nocks,レイ・アリアポーの弓術
65604,西尔瓦尔的弓术训练,Violators Will Be Shot,シルヴェルの弓術
65605,追踪内鬼,"Dark Words, Dark Deeds",疑惑の騎兵を追え
65606,射向黑暗之箭,To Catch a Poacher,闇に放たれし矢
65607,雾中的歧路,Homecoming,霧の中の岐路
65608,,,
65609,,,
65610,剿灭别动队,First Blood,別働隊を叩け
65611,别有洞天,The Path of the Righteous,潜入スノークローク大氷壁
65612,毫无迷惘的眼瞳,The One That Got Away,迷い無き瞳
65613,雪原追击,For the Greater Good,雪上の追撃
65614,交织的阴谋,Tendrils of Intrigue,絡まり合う陰謀
65615,隐踪匿迹,Chasing Ivy,木陰に隠れて
65616,多玛忍者,Doman Connection,忍びの者たち
65617,捉拿现场,In Flagrante Delicto,写本師捕縛作戦
65618,贤人穆恩布瑞达,A Simple Plan,賢人ムーンブリダ
65619,,,
65620,冷若霜雪的冰神希瓦,The Instruments of Our Deliverance,氷神シヴァの輝き
65621,冒险者入门,Close to Home,冒険者への手引き
65622,银白的女神殿骑士,The Road Less Traveled,白き女神殿騎士
65623,云开雾散,Eyes Unclouded,蛮族と呼ばれる者
65624,正耀将的末路,The Reason Roaille,峻烈のエリヌ・ロアユ
65625,寒冰的幻想,Let Us Cling Together,氷結の幻想
65626,登峰造极的冰神希瓦,Drop Dead Shiva,極まりし氷神シヴァ
65627,风之试炼,Trial by Wind,風の試練
65628,水之试炼,Trial by Water,水の試練
65629,希尔菲的试炼,Sylphie's Trials,シルフィーの試練
65630,祸起沙斯塔夏,It's Definitely Pirates,サスタシャを暴く者
65631,卫兵的测试,Hematophagic Harassment,衛士の力試し
65632,圣堂中的陷阱,The Wrath of Qarn,カルン埋没寺院に秘められし罠
65633,境树巡逻,Harriers of the Hedgetree,境樹の巡回
65634,磨豆妇人的小知识,"Drink Your Beans, Dear",豆挽き婦人の豆知識
65635,陌生的礼物,The Kindness of Strangers,見知らぬ贈り物
65636,小小的人儿大大的梦想,Short Arms of the Law,小さき者たちの大きな夢
65637,如何加入双剑师行会,So You Want to Be a Rogue,双剣士になるには？
65638,悄然声息的双剑师,My First Daggers,暗部に潜む双剣士
65639,豆子小偷的末日,Death to the Bean Thieves,豆泥棒と豆挽き婦人
65640,双剑于手,Stabbers in Yer Fambles,双振りの剣を手に
65641,制革匠盖娃大姐,Way of the Leatherworker,革細工師ゲヴァ親方
65642,革制品的重要性,A Test of Technique,革製品の重み
65643,欢迎来到海洋之都,Coming to Limsa Lominsa,海の都リムサ・ロミンサへ
